subject,count,link
"martin, glenn l. (glenn luther), 1886--1955",1,"https://she-changed-world.cb.ncpedia.org/browse.html#martin,%20glenn%20l.%20(glenn%20luther),%201886--1955"
"north carolina--history--american revolutionary",1,"https://she-changed-world.cb.ncpedia.org/browse.html#north%20carolina--history--american%20revolutionary"
"surry county (n.c.)--industry and agriculture",1,"https://she-changed-world.cb.ncpedia.org/browse.html#surry%20county%20(n.c.)--industry%20and%20agriculture"
"african american radio broadcasters--north carolina--charlotte",1,"https://she-changed-world.cb.ncpedia.org/browse.html#african%20american%20radio%20broadcasters--north%20carolina--charlotte"
"leeper, hattie",1,"https://she-changed-world.cb.ncpedia.org/browse.html#leeper,%20hattie"
"military nursing--united states--history--20th century",1,"https://she-changed-world.cb.ncpedia.org/browse.html#military%20nursing--united%20states--history--20th%20century"
"fort bragg (n.c.)",1,"https://she-changed-world.cb.ncpedia.org/browse.html#fort%20bragg%20(n.c.)"
"fort lee (va.)",1,"https://she-changed-world.cb.ncpedia.org/browse.html#fort%20lee%20(va.)"
"fort mcclellan (ala.)",1,"https://she-changed-world.cb.ncpedia.org/browse.html#fort%20mcclellan%20(ala.)"
"king, margaret belva mizelle, 1918--2004",1,"https://she-changed-world.cb.ncpedia.org/browse.html#king,%20margaret%20belva%20mizelle,%201918--2004"
"museums--north carolina--newton",1,"https://she-changed-world.cb.ncpedia.org/browse.html#museums--north%20carolina--newton"
"museums--north carolina--hickory",1,"https://she-changed-world.cb.ncpedia.org/browse.html#museums--north%20carolina--hickory"
"soap trade--north carolina--mayodan",1,"https://she-changed-world.cb.ncpedia.org/browse.html#soap%20trade--north%20carolina--mayodan"
"united states. army. airborne division, 82nd",1,"https://she-changed-world.cb.ncpedia.org/browse.html#united%20states.%20army.%20airborne%20division,%2082nd"
"united states. army reserve",1,"https://she-changed-world.cb.ncpedia.org/browse.html#united%20states.%20army%20reserve"
"united states. army. women's army corps",1,"https://she-changed-world.cb.ncpedia.org/browse.html#united%20states.%20army.%20women's%20army%20corps"
"cleaning compounds industry--north carolina--mayodan",1,"https://she-changed-world.cb.ncpedia.org/browse.html#cleaning%20compounds%20industry--north%20carolina--mayodan"
"slaves' writings, american",1,"https://she-changed-world.cb.ncpedia.org/browse.html#slaves'%20writings,%20american"
"women slaves--north carolina--edenton--biography",1,"https://she-changed-world.cb.ncpedia.org/browse.html#women%20slaves--north%20carolina--edenton--biography"
"jacobs, harriet a. (harriet ann), 1813--1897",1,"https://she-changed-world.cb.ncpedia.org/browse.html#jacobs,%20harriet%20a.%20(harriet%20ann),%201813--1897"
"kephart, horace, 1862--1931",1,"https://she-changed-world.cb.ncpedia.org/browse.html#kephart,%20horace,%201862--1931"
"fuller, r. buckminster (richard buckminster), 1895--1983",1,"https://she-changed-world.cb.ncpedia.org/browse.html#fuller,%20r.%20buckminster%20(richard%20buckminster),%201895--1983"
"architecture--study and teaching--north carolina",1,"https://she-changed-world.cb.ncpedia.org/browse.html#architecture--study%20and%20teaching--north%20carolina"
"de kooning, elaine",1,"https://she-changed-world.cb.ncpedia.org/browse.html#de%20kooning,%20elaine"
"architecture--north carolina--buncombe county",1,"https://she-changed-world.cb.ncpedia.org/browse.html#architecture--north%20carolina--buncombe%20county"
"art therapy",1,"https://she-changed-world.cb.ncpedia.org/browse.html#art%20therapy"
"finger painting",1,"https://she-changed-world.cb.ncpedia.org/browse.html#finger%20painting"
"shaw, ruth faison, 1888--1968",1,"https://she-changed-world.cb.ncpedia.org/browse.html#shaw,%20ruth%20faison,%201888--1968"
"burwell school--north carolina--hillsborough--history",1,"https://she-changed-world.cb.ncpedia.org/browse.html#burwell%20school--north%20carolina--hillsborough--history"
"asawa, ruth",1,"https://she-changed-world.cb.ncpedia.org/browse.html#asawa,%20ruth"
"albers, anni",1,"https://she-changed-world.cb.ncpedia.org/browse.html#albers,%20anni"
"burwell, margaret anna robertson, 1810--1871",1,"https://she-changed-world.cb.ncpedia.org/browse.html#burwell,%20margaret%20anna%20robertson,%201810--1871"
"north carolina state museum of natural history",1,"https://she-changed-world.cb.ncpedia.org/browse.html#north%20carolina%20state%20museum%20of%20natural%20history"
"photographers--north carolina",1,"https://she-changed-world.cb.ncpedia.org/browse.html#photographers--north%20carolina"
"wildlife photography",1,"https://she-changed-world.cb.ncpedia.org/browse.html#wildlife%20photography"
"wootten, bayard morgan, 1875-1959",1,"https://she-changed-world.cb.ncpedia.org/browse.html#wootten,%20bayard%20morgan,%201875-1959"
"women photographers",1,"https://she-changed-world.cb.ncpedia.org/browse.html#women%20photographers"
"home economics, rural",1,"https://she-changed-world.cb.ncpedia.org/browse.html#home%20economics,%20rural"
"mckimmon, jane simpson, 1867--1957",1,"https://she-changed-world.cb.ncpedia.org/browse.html#mckimmon,%20jane%20simpson,%201867--1957"
"letter carriers--north carolina--watauga county",1,"https://she-changed-world.cb.ncpedia.org/browse.html#letter%20carriers--north%20carolina--watauga%20county"
"clawson, addie, 1911--1964",1,"https://she-changed-world.cb.ncpedia.org/browse.html#clawson,%20addie,%201911--1964"
"feldspar",1,"https://she-changed-world.cb.ncpedia.org/browse.html#feldspar"
"pottery",1,"https://she-changed-world.cb.ncpedia.org/browse.html#pottery"
"mica mines and mining--north carolina, western",1,"https://she-changed-world.cb.ncpedia.org/browse.html#mica%20mines%20and%20mining--north%20carolina,%20western"
"women farmers--north carolina--johnston county",1,"https://she-changed-world.cb.ncpedia.org/browse.html#women%20farmers--north%20carolina--johnston%20county"
"turlington, ethel, d. 1977",1,"https://she-changed-world.cb.ncpedia.org/browse.html#turlington,%20ethel,%20d.%201977"
"african americans--history--north carolina",1,"https://she-changed-world.cb.ncpedia.org/browse.html#african%20americans--history--north%20carolina"
"african americans--southern states--history",1,"https://she-changed-world.cb.ncpedia.org/browse.html#african%20americans--southern%20states--history"
"trails--north carolina--raleigh",1,"https://she-changed-world.cb.ncpedia.org/browse.html#trails--north%20carolina--raleigh"
"cole, nat king, 1919--1965",1,"https://she-changed-world.cb.ncpedia.org/browse.html#cole,%20nat%20king,%201919--1965"
"cole, maria, 1922--2012",1,"https://she-changed-world.cb.ncpedia.org/browse.html#cole,%20maria,%201922--2012"
"franklin (n.c.)--description and travel",1,"https://she-changed-world.cb.ncpedia.org/browse.html#franklin%20(n.c.)--description%20and%20travel"
"macon county (n.c.)--description and travel",1,"https://she-changed-world.cb.ncpedia.org/browse.html#macon%20county%20(n.c.)--description%20and%20travel"
"painters--north carolina--boone",1,"https://she-changed-world.cb.ncpedia.org/browse.html#painters--north%20carolina--boone"
"capehart, noyes, 1933--",1,"https://she-changed-world.cb.ncpedia.org/browse.html#capehart,%20noyes,%201933--"
"feezor, betty, 1925--1978",1,"https://she-changed-world.cb.ncpedia.org/browse.html#feezor,%20betty,%201925--1978"
"women television personalities--charlotte (n.c.)",1,"https://she-changed-world.cb.ncpedia.org/browse.html#women%20television%20personalities--charlotte%20(n.c.)"
"women novelists",1,"https://she-changed-world.cb.ncpedia.org/browse.html#women%20novelists"
"women dancers",1,"https://she-changed-world.cb.ncpedia.org/browse.html#women%20dancers"
"women sculptors",1,"https://she-changed-world.cb.ncpedia.org/browse.html#women%20sculptors"
"coeducation--north carolina",1,"https://she-changed-world.cb.ncpedia.org/browse.html#coeducation--north%20carolina"
"families--united states--statistics",1,"https://she-changed-world.cb.ncpedia.org/browse.html#families--united%20states--statistics"
"civil rights",1,"https://she-changed-world.cb.ncpedia.org/browse.html#civil%20rights"
"civil rights movements--united states--history--20th century",1,"https://she-changed-world.cb.ncpedia.org/browse.html#civil%20rights%20movements--united%20states--history--20th%20century"
"volunteers",1,"https://she-changed-world.cb.ncpedia.org/browse.html#volunteers"
"volunteer jobs",1,"https://she-changed-world.cb.ncpedia.org/browse.html#volunteer%20jobs"
"women--education--north carolina",1,"https://she-changed-world.cb.ncpedia.org/browse.html#women--education--north%20carolina"
"civic participation: working for civil rights",1,"https://she-changed-world.cb.ncpedia.org/browse.html#civic%20participation:%20working%20for%20civil%20rights"
"civic improvement",1,"https://she-changed-world.cb.ncpedia.org/browse.html#civic%20improvement"
"political activists--united states",1,"https://she-changed-world.cb.ncpedia.org/browse.html#political%20activists--united%20states"
"women political activists",1,"https://she-changed-world.cb.ncpedia.org/browse.html#women%20political%20activists"
"university of north carolina (1793--1962)--admission",1,"https://she-changed-world.cb.ncpedia.org/browse.html#university%20of%20north%20carolina%20(1793--1962)--admission"
"minorities--north carolina",1,"https://she-changed-world.cb.ncpedia.org/browse.html#minorities--north%20carolina"
"scotland--history--18th century",1,"https://she-changed-world.cb.ncpedia.org/browse.html#scotland--history--18th%20century"
"women heroes--scotland--biography",1,"https://she-changed-world.cb.ncpedia.org/browse.html#women%20heroes--scotland--biography"
"flora macdonald college (red springs, n.c.)--history",1,"https://she-changed-world.cb.ncpedia.org/browse.html#flora%20macdonald%20college%20(red%20springs,%20n.c.)--history"
"macdonald, flora, 1722--1790",1,"https://she-changed-world.cb.ncpedia.org/browse.html#macdonald,%20flora,%201722--1790"
"women--biography",1,"https://she-changed-world.cb.ncpedia.org/browse.html#women--biography"
"african americans--biography",1,"https://she-changed-world.cb.ncpedia.org/browse.html#african%20americans--biography"
"american fiction--women authors",1,"https://she-changed-world.cb.ncpedia.org/browse.html#american%20fiction--women%20authors"
"lee, annie carter, 1839--1862",1,"https://she-changed-world.cb.ncpedia.org/browse.html#lee,%20annie%20carter,%201839--1862"
"lee, robert e. (robert edward), 1807--1870",1,"https://she-changed-world.cb.ncpedia.org/browse.html#lee,%20robert%20e.%20(robert%20edward),%201807--1870"
"warren county (n.c.)",1,"https://she-changed-world.cb.ncpedia.org/browse.html#warren%20county%20(n.c.)"
"north carolina--history--civil war, 1861-1865",1,"https://she-changed-world.cb.ncpedia.org/browse.html#north%20carolina--history--civil%20war,%201861-1865"
"music by women composers",1,"https://she-changed-world.cb.ncpedia.org/browse.html#music%20by%20women%20composers"
"sepulchral monuments",1,"https://she-changed-world.cb.ncpedia.org/browse.html#sepulchral%20monuments"
"bennett college (greensboro, n.c.)",1,"https://she-changed-world.cb.ncpedia.org/browse.html#bennett%20college%20(greensboro,%20n.c.)"
"roosevelt, eleanor, 1884-1962",1,"https://she-changed-world.cb.ncpedia.org/browse.html#roosevelt,%20eleanor,%201884-1962"
"african american women--biography",1,"https://she-changed-world.cb.ncpedia.org/browse.html#african%20american%20women--biography"
"world war, 1939-1945--african americans",1,"https://she-changed-world.cb.ncpedia.org/browse.html#world%20war,%201939-1945--african%20americans"
"african americans--education",1,"https://she-changed-world.cb.ncpedia.org/browse.html#african%20americans--education"
"african americans--education--history",1,"https://she-changed-world.cb.ncpedia.org/browse.html#african%20americans--education--history"
"women--legal status, laws, etc.--north carolina",1,"https://she-changed-world.cb.ncpedia.org/browse.html#women--legal%20status,%20laws,%20etc.--north%20carolina"
"education--north carolina",1,"https://she-changed-world.cb.ncpedia.org/browse.html#education--north%20carolina"
"public health--north carolina",1,"https://she-changed-world.cb.ncpedia.org/browse.html#public%20health--north%20carolina"
"washington, mary parks",1,"https://she-changed-world.cb.ncpedia.org/browse.html#washington,%20mary%20parks"
"african american college students",1,"https://she-changed-world.cb.ncpedia.org/browse.html#african%20american%20college%20students"
"jails",1,"https://she-changed-world.cb.ncpedia.org/browse.html#jails"
"united states--history--civil war, 1861-1865--children",1,"https://she-changed-world.cb.ncpedia.org/browse.html#united%20states--history--civil%20war,%201861-1865--children"
"corn",1,"https://she-changed-world.cb.ncpedia.org/browse.html#corn"
"sweet potatoes",1,"https://she-changed-world.cb.ncpedia.org/browse.html#sweet%20potatoes"
"united states--history--civil war, 1861-1865--women",1,"https://she-changed-world.cb.ncpedia.org/browse.html#united%20states--history--civil%20war,%201861-1865--women"
"family farms",1,"https://she-changed-world.cb.ncpedia.org/browse.html#family%20farms"
"united states--history--civil war, 1861-1865--food supply",1,"https://she-changed-world.cb.ncpedia.org/browse.html#united%20states--history--civil%20war,%201861-1865--food%20supply"
"money--confederate states of america",1,"https://she-changed-world.cb.ncpedia.org/browse.html#money--confederate%20states%20of%20america"
"cotton",1,"https://she-changed-world.cb.ncpedia.org/browse.html#cotton"
"north carolina--history--civil war, 1861-1865--sources",1,"https://she-changed-world.cb.ncpedia.org/browse.html#north%20carolina--history--civil%20war,%201861-1865--sources"
"american indians",1,"https://she-changed-world.cb.ncpedia.org/browse.html#american%20indians"
"labor",1,"https://she-changed-world.cb.ncpedia.org/browse.html#labor"
"bombing, aerial",1,"https://she-changed-world.cb.ncpedia.org/browse.html#bombing,%20aerial"
"jones, elizabeth earl, 1879-1963",1,"https://she-changed-world.cb.ncpedia.org/browse.html#jones,%20elizabeth%20earl,%201879-1963"
"fourth of july celebrations",1,"https://she-changed-world.cb.ncpedia.org/browse.html#fourth%20of%20july%20celebrations"
"reading, rufus daniel isaacs, marquess of, 1860-1935",1,"https://she-changed-world.cb.ncpedia.org/browse.html#reading,%20rufus%20daniel%20isaacs,%20marquess%20of,%201860-1935"
"world war, 1914-1918--war work--young men's christian associations",1,"https://she-changed-world.cb.ncpedia.org/browse.html#world%20war,%201914-1918--war%20work--young%20men's%20christian%20associations"
"great britain. ministry of food",1,"https://she-changed-world.cb.ncpedia.org/browse.html#great%20britain.%20ministry%20of%20food"
"rationing--great britain",1,"https://she-changed-world.cb.ncpedia.org/browse.html#rationing--great%20britain"
"nurses--north carolina",1,"https://she-changed-world.cb.ncpedia.org/browse.html#nurses--north%20carolina"
"nurses--united states--social conditions",1,"https://she-changed-world.cb.ncpedia.org/browse.html#nurses--united%20states--social%20conditions"
"nurses--great britain--history--20th century",1,"https://she-changed-world.cb.ncpedia.org/browse.html#nurses--great%20britain--history--20th%20century"
"red cross and red crescent",1,"https://she-changed-world.cb.ncpedia.org/browse.html#red%20cross%20and%20red%20crescent"
"world war, 1914-1918--women--great britain",1,"https://she-changed-world.cb.ncpedia.org/browse.html#world%20war,%201914-1918--women--great%20britain"
"children",1,"https://she-changed-world.cb.ncpedia.org/browse.html#children"
"civilian pilot training program (u.s.)",1,"https://she-changed-world.cb.ncpedia.org/browse.html#civilian%20pilot%20training%20program%20(u.s.)"
"women airforce service pilots (u.s.)",1,"https://she-changed-world.cb.ncpedia.org/browse.html#women%20airforce%20service%20pilots%20(u.s.)"
"women air pilots",1,"https://she-changed-world.cb.ncpedia.org/browse.html#women%20air%20pilots"
"united states. army nurse corps",1,"https://she-changed-world.cb.ncpedia.org/browse.html#united%20states.%20army%20nurse%20corps"
